,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
3735,미입력,미입력,미입력,pc,F,일반,56760.0,48260.0,0.0,240.0,0.0,T
2829,미입력,미입력,선택,pc,F,전화주문 고객,821100.0,661100.0,0.0,0.0,0.0,F
3112,미입력,미입력,선택,pc,F,사업자,355590.0,280790.0,0.0,2380.0,0.0,T
2983,미입력,미입력,선택,pc,F,사업자,188040.0,128040.0,2.0,1620.0,0.0,F
2173,미입력,미입력,선택,pc,F,사업자,318160.0,270860.0,0.0,6710.0,0.0,F
1121,미입력,미입력,선택,pc,F,사업자,1375210.0,1110540.0,1.0,3200.0,0.0,F
3169,미입력,미입력,선택,pc,F,전화주문 고객,1101200.0,865500.0,0.0,0.0,0.0,T
3125,미입력,미입력,선택,pc,F,전화주문 고객,405140.0,342640.0,0.0,0.0,0.0,F
14,미입력,남자,미입력,pc,F,일반,182160.0,181160.0,3.0,1000.0,1000.0,F
1900,미입력,미입력,선택,pc,F,전화주문 고객,213020.0,179020.0,0.0,0.0,0.0,T
1595,미입력,미입력,선택,pc,F,사업자,118140.0,0.0,0.0,1000.0,0.0,T
3760,미입력,미입력,미입력,pc,F,사업자,6171220.0,5128115.0,0.0,163195.0,163195.0,F
3313,미입력,미입력,선택,pc,F,전화주문 고객,363520.0,324520.0,0.0,0.0,0.0,F
3741,미입력,미입력,선택,pc,F,사업자,292130.0,259270.0,0.0,600.0,0.0,F
902,미입력,미입력,선택,pc,F,전화주문 고객,190570.0,115070.0,0.0,0.0,0.0,F
357,미입력,미입력,선택,pc,F,전화주문 고객,310740.0,310740.0,0.0,0.0,0.0,F
219,미입력,미입력,선택,pc,F,전화주문 고객,959380.0,934380.0,0.0,1000.0,0.0,F
601,미입력,미입력,미입력,pc,F,일반,61830.0,61830.0,0.0,1000.0,0.0,F
680,미입력,미입력,선택,pc,F,사업자,626930.0,621830.0,6.0,9400.0,5100.0,F
1920,미입력,미입력,선택,pc,F,전화주문 고객,210210.0,181710.0,0.0,0.0,0.0,F
2076,미입력,미입력,선택,pc,F,사업자,226880.0,187780.0,1.0,8520.0,0.0,F
2493,미입력,미입력,선택,pc,F,특별회원,80670.0,65670.0,0.0,1320.0,0.0,F
2893,미입력,미입력,선택,pc,F,전화주문 고객,254150.0,194150.0,0.0,0.0,0.0,F
277,미입력,미입력,선택,pc,F,사업자,449410.0,396500.0,0.0,2800.0,0.0,T
3754,40대,미입력,선택,pc,F,사업자,1300530.0,1044500.0,1.0,21620.0,18570.0,F
546,미입력,미입력,미입력,pc,F,일반,40320.0,40320.0,0.0,1000.0,0.0,T
